City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
25,Cape Town,ZA,60.12,light intensity drizzle,-33.9258,18.4232,Southern Sun Waterfront Cape Town
31,East London,ZA,67.14,light rain,-33.0153,27.9116,Tu Casa
35,Parichhatgarh,IN,69.62,broken clouds,28.9833,77.9333,Saleem javed home
43,Santa Maria,BR,62.71,clear sky,-29.6842,-53.8069,Hotel Morotin
50,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
60,Vila Franca Do Campo,PT,61.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
66,Hengyang,CN,63.19,clear sky,26.8881,112.615,Honglin Guesthouse
67,Ribeira Grande,PT,63.82,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
73,Ponta Do Sol,PT,65.03,few clouds,32.6667,-17.1,Hotel do Campo
79,Port Elizabeth,ZA,66.49,light rain,-33.918,25.5701,39 On Nile Guest House
82,Hamilton,US,61.79,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
88,Puerto Ayora,EC,67.48,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Pimentel,PE,65.71,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
108,Arlit,NE,64.76,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
109,Guerrero Negro,MX,61.77,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
123,Loei,TH,65.44,overcast clouds,17.4167,101.5,Ban Aloi Resort
126,Dekar,BW,69.35,overcast clouds,-21.5333,21.9333,
128,Ribeira Brava,PT,65.03,few clouds,32.65,-17.0667,Hotel do Campo
148,Kruisfontein,ZA,61.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
153,Port Lincoln,AU,67.98,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
156,Port Alfred,ZA,66.27,light rain,-33.5906,26.891,The Halyards Hotel
159,Khatima,IN,67.75,broken clouds,28.9167,79.9667,Paradise Guest House and Restaurant
167,Esperance,AU,66.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
170,Kathmandu,NP,64.9,clear sky,27.7167,85.3167,Hotel Shanker Kathmandu
172,Karpathos,GR,62.56,scattered clouds,35.507,27.2132,Alex
176,Boa Esperanca,BR,63.81,few clouds,-21.09,-45.5658,Hotel do Lago
180,Lompoc,US,61.12,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
192,Florida,US,63.75,scattered clouds,28.7505,-82.5001,Sportsmens Cove
202,Chuy,UY,62.08,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
206,Chacabuco,AR,62.8,clear sky,-34.6417,-60.4739,Club de Pesca Caza y Balneario
211,Santiago De Cao,PE,65.08,overcast clouds,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
221,Buenos Aires,AR,69.94,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
237,Cidreira,BR,69.21,light rain,-30.1811,-50.2056,Hotel Castelo
249,Huilong,CN,61.99,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
265,Lagoa,PT,62.85,broken clouds,39.05,-27.9833,Casa Das Faias
269,Shingu,JP,63.59,overcast clouds,33.7333,135.9833,Shingu UI Hotel
280,Los Llanos De Aridane,ES,62.13,broken clouds,28.6585,-17.9182,Valle Aridane
281,Kidal,ML,68.79,clear sky,18.4411,1.4078,
283,Mirik,IN,60.78,clear sky,26.8945,88.1848,OYO 67242 Sun View Resort
291,Jahangirpur,IN,69.6,broken clouds,28.1833,77.7167,Fozi Hotel
