City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tromso,NO,69.6496,18.957,17.62,73,0,1.99,clear sky
1,Wonthaggi,AU,-38.6044,145.5913,80.94,56,100,5.82,light rain
2,Cap Malheureux,MU,-19.9842,57.6142,81.46,70,32,7.0,scattered clouds
3,Half Moon Bay,US,37.4636,-122.4286,56.71,91,90,6.91,mist
4,Asyut,EG,27.181,31.1837,56.34,67,97,4.18,overcast clouds
5,Norman Wells,CA,65.282,-126.8329,-12.89,80,46,5.08,scattered clouds
6,Vanavara,RU,60.34,102.2797,-6.65,97,100,1.88,overcast clouds
7,Sainte-Suzanne,RE,-20.9061,55.6089,84.38,62,0,18.41,clear sky
8,Hilo,US,19.7297,-155.09,74.93,90,75,9.22,moderate rain
9,Ushuaia,AR,-54.8,-68.3,44.26,61,20,23.02,few clouds
10,Mariental,NA,-24.6333,17.9667,59.07,58,0,7.83,clear sky
11,Kapaa,US,22.0752,-159.319,75.52,80,90,1.99,light rain
12,Hobart,AU,-42.8794,147.3294,77.02,45,40,8.99,scattered clouds
13,Busselton,AU,-33.65,115.3333,70.09,42,32,10.74,scattered clouds
14,Qaanaaq,GL,77.484,-69.3632,19.72,81,100,7.11,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,76.86,74,97,7.72,overcast clouds
16,Riberalta,BO,-10.9833,-66.1,73.24,99,100,2.62,light rain
17,Lavrentiya,RU,65.5833,-171.0,24.57,96,100,14.47,snow
18,Batemans Bay,AU,-35.7167,150.1833,72.19,63,100,9.6,overcast clouds
19,Dikson,RU,73.5069,80.5464,-14.31,99,98,8.03,overcast clouds
20,Erzin,TR,36.9559,36.2,45.12,47,0,5.19,clear sky
21,Talcahuano,CL,-36.7167,-73.1167,55.35,88,0,8.84,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,43.54,73,98,5.73,overcast clouds
23,Tieli,CN,46.95,128.05,18.82,87,59,4.36,broken clouds
24,Sept-Iles,CA,50.2001,-66.3821,7.23,72,21,2.3,few clouds
25,Cape Town,ZA,-33.9258,18.4232,60.12,91,90,3.0,light intensity drizzle
26,Virginia Beach,US,36.8529,-75.978,53.82,93,40,4.61,scattered clouds
27,Jiuquan,CN,39.7432,98.5174,30.51,39,37,8.79,scattered clouds
28,Ambunti,PG,-4.2365,142.8448,94.03,51,95,3.4,overcast clouds
29,Jamestown,US,42.097,-79.2353,47.79,66,90,10.0,light rain
30,Shache,CN,38.4167,77.2406,35.13,27,100,1.52,overcast clouds
31,East London,ZA,-33.0153,27.9116,67.14,94,75,8.05,light rain
32,Mahebourg,MU,-20.4081,57.7,81.25,74,40,12.66,scattered clouds
33,Cherskiy,RU,68.75,161.3,-31.14,97,100,3.06,overcast clouds
34,Constitucion,CL,-35.3333,-72.4167,55.98,90,4,7.4,clear sky
35,Parichhatgarh,IN,28.9833,77.9333,69.62,50,53,5.91,broken clouds
36,Hermanus,ZA,-34.4187,19.2345,59.9,92,100,7.85,light rain
37,Atuona,PF,-9.8,-139.0333,78.84,75,3,17.9,clear sky
38,Mataura,NZ,-46.1927,168.8643,56.48,44,74,9.51,broken clouds
39,Sabha,LY,27.0377,14.4283,47.66,33,1,8.21,clear sky
40,New Norfolk,AU,-42.7826,147.0587,76.66,37,90,5.01,overcast clouds
41,Clyde River,CA,70.4692,-68.5914,10.63,92,100,26.46,light snow
42,Airai,TL,-8.9266,125.4092,71.58,73,98,2.17,overcast clouds
43,Santa Maria,BR,-29.6842,-53.8069,62.71,92,1,5.1,clear sky
44,Thompson,CA,55.7435,-97.8558,-19.07,94,18,6.58,few clouds
45,Cabo San Lucas,MX,22.8909,-109.9124,76.51,71,100,5.35,overcast clouds
46,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.64,99,85,2.04,overcast clouds
47,Japura,ID,-0.3167,102.35,86.54,62,88,5.32,overcast clouds
48,Tonekabon,IR,36.8163,50.8738,51.75,64,100,4.0,overcast clouds
49,Khatanga,RU,71.9667,102.5,-14.4,97,100,7.27,overcast clouds
50,Pisco,PE,-13.7,-76.2167,66.25,82,0,12.66,clear sky
51,Tuatapere,NZ,-46.1333,167.6833,55.81,53,73,10.04,broken clouds
52,Wanaka,NZ,-44.7,169.15,49.5,80,100,5.82,overcast clouds
53,Boden,SE,65.8252,21.6886,-0.4,99,74,2.84,broken clouds
54,Aklavik,CA,68.2191,-135.0107,4.03,91,49,9.28,scattered clouds
55,Saskylakh,RU,71.9167,114.0833,-31.49,99,94,5.06,overcast clouds
56,Castro,BR,-24.7911,-50.0119,59.77,96,81,3.58,broken clouds
57,Ilulissat,GL,69.2167,-51.1,28.42,46,98,9.22,overcast clouds
58,Omboue,GA,-1.5746,9.2618,75.11,93,100,5.99,light rain
59,Tjome,NO,59.1109,10.3933,20.28,86,90,9.22,light snow
60,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,84,31,1.9,scattered clouds
61,Talnakh,RU,69.4865,88.3972,-14.8,99,100,13.69,light snow
62,Severo-Kurilsk,RU,50.6789,156.125,33.94,90,93,17.92,light rain
63,Tazovskiy,RU,67.4667,78.7,-11.06,86,100,16.33,overcast clouds
64,Albany,US,42.6001,-73.9662,42.62,54,100,3.0,overcast clouds
65,Muli,MV,2.9167,73.5667,82.85,74,22,13.96,few clouds
66,Hengyang,CN,26.8881,112.615,63.19,35,0,3.67,clear sky
67,Ribeira Grande,PT,38.5167,-28.7,63.82,71,85,9.95,overcast clouds
68,Zhigansk,RU,66.7697,123.3711,-26.16,97,100,8.84,overcast clouds
69,Channel-Port Aux Basques,CA,47.5702,-59.1367,32.13,62,99,19.13,overcast clouds
70,Boysun,UZ,38.2061,67.1986,43.81,45,0,4.92,clear sky
71,Araouane,ML,18.9048,-3.5265,58.98,18,91,11.07,overcast clouds
72,Christchurch,NZ,-43.5333,172.6333,53.8,86,90,3.44,overcast clouds
73,Ponta Do Sol,PT,32.6667,-17.1,65.03,65,16,9.24,few clouds
74,Aktau,KZ,43.65,51.2,30.78,64,64,7.45,broken clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,1,13.8,clear sky
76,Provideniya,RU,64.3833,-173.3,28.51,80,40,11.18,scattered clouds
77,Aksarka,RU,66.5606,67.7975,-10.62,85,90,13.35,overcast clouds
78,San Cristobal,VE,7.7669,-72.225,71.78,81,100,1.97,overcast clouds
79,Port Elizabeth,ZA,-33.918,25.5701,66.49,88,0,9.22,light rain
80,Koslan,RU,63.4564,48.8989,0.0,99,39,4.94,scattered clouds
81,Gamba,GA,-2.65,10.0,74.37,95,100,7.47,moderate rain
82,Hamilton,US,39.1834,-84.5333,61.79,91,75,3.0,broken clouds
83,Mackay,AU,-21.15,149.2,87.67,60,37,14.16,scattered clouds
84,Bredasdorp,ZA,-34.5322,20.0403,58.28,93,100,7.63,moderate rain
85,Shenjiamen,CN,29.9576,122.298,57.65,59,0,7.25,clear sky
86,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,21.85,scattered clouds
87,Bonito,BR,-21.1211,-56.4819,76.93,64,48,4.05,scattered clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,67.48,90,50,7.23,scattered clouds
89,Toamasina,MG,-18.1667,49.3833,77.0,83,75,4.61,light rain
90,Candido Mendes,BR,-1.4467,-45.7167,76.01,92,48,3.49,scattered clouds
91,Kristiinankaupunki,FI,62.2743,21.376,3.58,91,8,6.82,clear sky
