City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hofn,IS,2021-12-04 05:31:48,64.2539,-15.2082,31.14,53,2,8.19
1,Rikitea,PF,2021-12-04 05:31:49,-23.1203,-134.9692,76.37,76,58,14.61
2,Saint-Pierre,RE,2021-12-04 05:27:43,-21.3393,55.4781,85.64,69,0,6.91
3,Butaritari,KI,2021-12-04 05:31:50,3.0707,172.7902,82.87,75,94,13.44
4,Dikson,RU,2021-12-04 05:26:58,73.5069,80.5464,-22.0,97,68,10.2
5,Albany,US,2021-12-04 05:27:32,42.6001,-73.9662,30.81,74,47,4.21
6,Tura,IN,2021-12-04 05:31:51,25.5198,90.2201,77.23,52,88,3.09
7,Port Alfred,ZA,2021-12-04 05:28:27,-33.5906,26.891,67.3,76,100,7.76
8,Comodoro Rivadavia,AR,2021-12-04 05:30:01,-45.8667,-67.5,66.06,20,0,12.66
9,Vila Velha,BR,2021-12-04 05:31:52,-20.3297,-40.2925,69.94,93,40,5.75
10,Shahrud,IR,2021-12-04 05:31:53,36.4182,54.9763,40.1,52,1,2.01
11,Atuona,PF,2021-12-04 05:31:53,-9.8,-139.0333,78.67,73,1,17.43
12,Punta Arenas,CL,2021-12-04 05:31:53,-53.15,-70.9167,46.51,81,75,12.66
13,Ostrovnoy,RU,2021-12-04 05:31:54,68.0531,39.5131,19.72,85,100,2.64
14,Hobart,AU,2021-12-04 05:31:28,-42.8794,147.3294,60.06,44,75,1.01
15,Tiksi,RU,2021-12-04 05:31:55,71.6872,128.8694,-31.32,99,46,4.45
16,Zhigansk,RU,2021-12-04 05:31:55,66.7697,123.3711,-18.42,97,100,23.71
17,Yenagoa,NG,2021-12-04 05:31:56,4.9247,6.2642,77.5,90,100,0.49
18,Kodiak,US,2021-12-04 05:31:56,57.79,-152.4072,8.11,92,1,6.91
19,Hermanus,ZA,2021-12-04 05:31:57,-34.4187,19.2345,64.9,72,87,16.46
20,Cabo San Lucas,MX,2021-12-04 05:28:27,22.8909,-109.9124,77.5,75,95,7.14
21,Puerto Escondido,MX,2021-12-04 05:31:58,15.85,-97.0667,79.63,69,1,4.61
22,Puerto Ayora,EC,2021-12-04 05:31:58,-0.7393,-90.3518,67.14,94,42,5.5
23,Zhangye,CN,2021-12-04 05:31:59,38.9342,100.4517,42.26,24,0,4.25
24,Bredasdorp,ZA,2021-12-04 05:31:59,-34.5322,20.0403,64.27,67,100,15.21
25,Atar,MR,2021-12-04 05:32:00,20.5169,-13.0499,64.53,29,84,7.65
26,Bluff,NZ,2021-12-04 05:32:00,-46.6,168.3333,62.04,90,82,1.34
27,Cape Town,ZA,2021-12-04 05:30:54,-33.9258,18.4232,65.12,62,20,23.02
